cluster,size,top_terms,top_journals
0,1740,"telecommunications, engineering telecommunications, electronic telecommunications, engineering, engineering electrical, electrical electronic, electrical, electronic, telecommunications engineering, channel",IEEE TRANSACTIONS ON COMMUNICATIONS (76); IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (75); JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS (75)
1,921,"web, semantic, ontology, services, information, science, computer, computer science, ontologies, service",JOURNAL OF WEB SEMANTICS (54); INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS (45); INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH (32)
2,648,"science library, library science, information science, library, information, business, systems information, science information, technology, information systems",ONLINE INFORMATION REVIEW (76); JOURNAL OF MANAGEMENT INFORMATION SYSTEMS (76); JOURNAL OF INFORMATION TECHNOLOGY (75)
3,535,"operations research, management science, research management, operations, management, research, science operations, science computer, engineering operations, science",INFORMS JOURNAL ON COMPUTING (76); NETWORKS (76); OPTIMIZATION METHODS & SOFTWARE (76)
4,1174,"method, mathematics, element, finite, numerical, interdisciplinary applications, interdisciplinary, equations, applications, finite element",COMPUTERS AND GEOTECHNICS (75); COMPUTERS & FLUIDS (75); CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES (75)
5,1784,"hardware, architecture, hardware architecture, science hardware, architecture computer, computer, science, computer science, performance, engineering",ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS (75); INTEGRATION-THE VLSI JOURNAL (75); DISPLAYS (72)
6,4661,"computer, science, computer science, software, engineering, software engineering, systems, engineering computer, science software, information",COMPUTER APPLICATIONS IN ENGINEERING EDUCATION (73); HUMAN-COMPUTER INTERACTION (70); PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS (69)
7,965,"optimization, algorithm, search, genetic, evolutionary, algorithms, problems, swarm, problem, particle swarm",IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION (71); EVOLUTIONARY COMPUTATION (71); JOURNAL OF HEURISTICS (67)
8,2825,"science, computer, computer science, theory, mathematics, science theory, theory methods, methods, logic, science mathematics",INFORMATION AND COMPUTATION (76); DESIGNS CODES AND CRYPTOGRAPHY (76); SIAM JOURNAL ON COMPUTING (76)
9,1591,"cloud, computing, security, cloud computing, computer, science, data, computer science, service, systems",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW (42); JOURNAL OF GRID COMPUTING (36); COMPUTERS & SECURITY (32)
10,776,"biology, computational biology, mathematical computational, mathematical, computational, molecular, gene, molecular biology, protein, biochemistry",COMPUTERS IN BIOLOGY AND MEDICINE (76); JOURNAL OF MOLECULAR GRAPHICS & MODELLING (76); BMC BIOINFORMATICS (73)
11,1040,"sensor, wireless, networks, sensor networks, wireless sensor, telecommunications, network, nodes, energy, routing",ACM TRANSACTIONS ON SENSOR NETWORKS (50); WIRELESS NETWORKS (43); AD HOC & SENSOR WIRELESS NETWORKS (39)
12,521,"fuzzy, decision, decision making, making, sets, linguistic, operators, rough, set, aggregation",INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS (50); INTERNATIONAL JOURNAL OF APPROXIMATE REASONING (42); INFORMATION SCIENCES (37)
13,3853,"computer, science, computer science, artificial, intelligence, artificial intelligence, science artificial, learning, image, data",NEURAL NETWORKS (75); COMPUTER SPEECH AND LANGUAGE (75); MEDICAL IMAGE ANALYSIS (74)
